veld1,veld2,veld3,veld4,veld5,veld6,veld7,veld8,veld9,veld10,veld11,veld12,veld13,veld14,veld15,veld16,veld17,veld18,veld19,veld20,veld21,veld22,veld23,veld24,veld25,veld26,veld27,veld28,veld29,veld30,veld31,veld32,veld33,veld34,veld35,veld36,veld37,veld38,veld39,veld40,veld41,veld42,veld43,veld44,veld45,veld46,veld47,veld48,veld49,veld50,veld51,veld52,veld53,veld54,veld55,veld56,veld57,veld58,veld59,veld60,veld61,veld62,veld63,veld64,veld65,veld66,veld67,veld68,veld69,veld70,veld71,veld72,veld73,veld74,veld75,veld76,veld77,veld78,veld79,veld80,veld81,veld82,veld83,veld84,veld85,veld86,veld87,veld88,veld89,veld90,veld91,veld92,veld93,veld94,veld95,veld96,veld97,veld98,veld99,veld100,veld101,veld102,veld103,veld104,veld105,veld106,veld107,veld108,veld109,veld110,veld111,veld112,veld113,veld114,veld115,veld116,veld117,veld118,veld119,veld120,veld121,veld122,veld123,veld124,veld125,veld126,veld127,veld128,veld129,veld130,veld131,veld132,veld133,veld134,veld135,veld136,veld137,veld138,veld139,veld140,veld141,veld142,veld143,veld144,veld145,veld146,veld147,veld148,veld149,veld150,veld151,veld152,veld153,veld154,veld155,veld156,veld157,veld158,veld159,veld160,veld161,veld162,veld163,veld164,veld165,veld166,veld167,veld168,veld169,veld170,veld171,veld172,veld173,veld174,veld175,veld176,veld177,veld178,veld179,veld180,veld181,veld182,veld183,veld184,veld185,veld186,veld187,veld188,veld189,veld190,veld191,veld192,veld193,veld194,veld195,veld196,veld197,veld198,veld199
def,64,0,0,0,6,3,4,140,4,4,134,1,2,132,2,2,132,5,2,132,0,1,0
file_id,0,serial_number,time_created,manufacturer,product,number,type
data,0,3860571361,2014-03-04 15:05:56,1,1036,,4
def,65,0,0,49,2,0,2,132,1,1,2
file_creator,1,software_version,hardware_version
data,1,330,
def,66,0,0,21,5,253,4,134,3,4,134,0,1,0,1,1,0,4,1,2
event,2,timestamp(s),data,event,event_type,event_group
data,2,2014-03-04 15:05:58,0,TIMER,START,0
def,67,0,0,23,15,253,4,134,3,4,140,7,4,134,8,4,134,15,4,134,16,4,134,2,2,132,4,2,132,5,2,132,10,2,132,0,1,2,1,1,2,6,1,2,9,1,2,11,1,2
device_info,3,timestamp(s),serial_number,cum_operating_time(s),Onbekend,Unknown,Unknown,manufacturer,product,software_version,battery_voltage(V),device_index,device_type,hardware_version,Unknown,battery_status
data,3,2014-03-04 15:05:58,3860571361,,,,,1,1036,3.30,,0,1,,,
data,3,2014-03-04 15:05:58,,,,,,,,,,1,12,,,
data,3,2014-03-04 15:05:58,,,,,,1,979,2.60,,2,12,,,
data,3,2014-03-04 15:05:58,24676017,,,3676,173,,,,,3,120,,96,
data,3,2014-03-04 15:05:58,84617866,85110,,3676,93,,,,2.711,4,11,,98,3
data,3,2014-03-04 15:05:58,24740429,,,3711,106,,,,,5,121,,97,
def,68,0,0,22,10,253,4,134,0,1,2,1,1,2,2,1,2,3,1,2,4,1,2,5,1,0,6,1,2,7,1,2,8,1,2
source,4,timestamp(s),Speed,Distance,Cadence,Altitude,HeartRate,Calories,Power,?,?
data,4,2014-03-04 15:05:58,4,4,5,1,3,3,4,,
def,69,0,0,20,10,253,4,134,0,4,133,1,4,133,5,4,134,2,2,132,6,2,132,7,2,132,3,1,2,4,1,2,13,1,1
record,5,timestamp(s),position_lat(semicircles),position_long(semicircles),distance(m),altitude(m),speed(m/s),power(watts),heart_rate(bpm),cadence(rpm),temperature(C)
data,5,2014-03-04 15:05:58,375496552,411990898,5.08,113.8,5.099,159,125,91,21
data,5,2014-03-04 15:05:59,375496195,411990414,10.24,113.8,5.154,176,125,90,22
data,5,2014-03-04 15:06:00,375495873,411989909,15.34,113.8,5.105,197,125,91,21
data,5,2014-03-04 15:06:01,375495516,411989367,20.49,113.8,5.148,186,125,92,21
data,5,2014-03-04 15:06:02,375495152,411988838,25.71,113.8,5.217,175,125,93,21
data,5,2014-03-04 15:06:03,375494768,411988327,30.96,113.8,5.249,127,126,93,22
data,5,2014-03-04 15:06:04,375494406,411987842,36.24,113.8,5.288,203,126,93,21
data,5,2014-03-04 15:06:05,375493738,411986957,45.42,113.8,5.243,192,126,94,22
data,5,2014-03-04 15:06:06,375493342,411986454,50.75,113.8,5.327,201,127,96,22
data,5,2014-03-04 15:06:07,375492941,411985951,56.07,113.8,5.327,219,128,98,22
data,5,2014-03-04 15:06:08,375492537,411985432,61.50,113.8,5.422,194,128,99,22
data,5,2014-03-04 15:06:09,375492106,411984909,67.05,113.8,5.555,159,128,100,22
data,5,2014-03-04 15:06:10,375491689,411984377,72.66,113.8,5.613,187,129,102,22
data,5,2014-03-04 15:06:11,375491299,411983831,78.32,113.8,5.658,198,129,103,22
data,5,2014-03-04 15:06:12,375490909,411983256,84.05,115.4,5.726,195,129,98,22
data,5,2014-03-04 15:06:13,375490491,411982675,89.86,115.4,5.811,7,129,80,22
data,5,2014-03-04 15:06:14,375490121,411982137,95.78,115.4,5.918,0,129,80,22
data,5,2014-03-04 15:06:15,375489756,411981657,101.58,115.4,5.799,0,128,60,22
data,5,2014-03-04 15:06:16,375489425,411981237,107.02,115.4,5.446,0,127,0,22
data,5,2014-03-04 15:06:17,375489151,411980875,112.06,115.4,5.043,0,126,0,22
data,5,2014-03-04 15:06:18,375488927,411980560,116.44,115.4,4.375,0,126,0,22
data,5,2014-03-04 15:06:19,375488797,411980349,120.33,115.4,3.895,0,125,0,22
data,5,2014-03-04 15:06:20,375488702,411980227,123.56,115.4,3.221,0,124,0,22
data,5,2014-03-04 15:06:21,375488726,411980276,126.03,115.4,2.478,0,124,0,22
data,5,2014-03-04 15:06:22,375488718,411980259,128.51,115.4,2.478,0,125,0,22
data,4,2014-03-04 15:06:23,4,4,4,1,3,3,4,,
data,2,2014-03-04 15:06:23,1,TIMER,STOP_ALL,0
data,5,2014-03-04 15:06:23,375488716,411980246,128.51,115.4,0.000,0,125,0,22
data,4,2014-03-04 15:06:47,4,4,5,1,3,3,4,,
data,2,2014-03-04 15:06:52,1,TIMER,START,0
